,sum,len
Safia Nolin,10390,2
Vivre en Gaspésie,10374,2
Lindsay Mathyssen,10368,2
GOOD TO GO Snacks,10364,3
Juliette & Chocolat,10358,3
City of Calgary – Your Local Government,10339,3
Loud,10297,2
Suzy Shier,10271,4
Clover Leaf Seafoods,10268,1
Heather Robertson,10266,3
L.A Lakers,10265,2
Jimmy Arseneault Re/max Courtier immobilier Inc.,10265,3
Uniprix,10262,3
Canadian Cancer Society,10261,3
Delicious,10257,2
UBC Confessions,10240,1
Proxim,10238,3
Lukateka,10234,3
Team Jacobs,10208,4
Closet Cooking,10205,3
96.1 myFM,10203,2
Jassa Dhillon,10178,1
Atlantic Superstore,10175,2
Movember Canada,10173,3
The Munk Debates,10173,3
Financial Post,10163,4
CBC Kitchener-Waterloo,10145,3
Peavey Mart,10121,2
Toronto Wolfpack,10108,3
London Drugs,10101,2
Autumn Peltier,10090,4
The Barra MacNeils,10086,1
Best Jokes,10082,3
Nascar News Today,10080,2
Tim Hicks,10072,2
Васељенска ТВ,10059,3
Will Black,10055,3
Hauck TOYS North America,10053,1
The Ennis Sisters,10052,2
Ketto,10047,2
MarineBio,10026,4
Moringa Haiti,10012,2
Antonio MAC Global Group,10010,3
La Voie Maltée,9993,2
Best Haitians WorldWide,9993,2
The Fat Feminist Witch,9992,1
FYidoctors,9983,3
Hockey Fights,9969,3
Luc Poirier,9967,2
Skull Fist,9958,2
Dreality Souvenirs,9951,1
Jean-François Mercier,9947,2
Thugpun,9945,3
From The Vault,9932,3
Zympala,9931,2
Voyage.gc.ca : Conseils du gouvernement du Canada à l’intention des voyageurs,9920,3
Les Éditions Passe-Temps,9912,2
îleSoniq,9905,2
Greenskull,9893,1
Mustafa Alazzawi,9886,3
SOS violence conjugale,9884,2
Signé caméline,9855,3
Geneviève O'Gleman,9841,3
Érablière Meunier,9824,2
Muhammad Alshareef,9820,4
Sarah Stock,9805,3
MINI,9803,3
Caserne de Pompiers no.16 - Montréal - Le Plateau,9798,1
Warning Sign,9797,1
Tourism Calgary,9797,3
The Empathy Effect,9793,3
George Canyon,9781,3
Waterloo Region Record,9777,3
CUPE SCFP,9772,2
NoyTrending.PH,9769,1
Banff Centre for Arts and Creativity,9763,1
AJDOR,9759,2
Francine Honey,9746,1
When in Canada,9738,1
desiFEST,9733,4
Malia Indigo,9721,1
Garde côtière canadienne,9710,2
Tourisme Côte-Nord,9695,1
NewmarketToday.ca,9687,1
Radio NL,9684,3
African Winners 1995 | Page Officielle,9680,3
CAPIZ Kontra  Sa Katiwalian,9678,1
Spotted à Gatineau,9672,2
اشقيفة لاستيراد السيارات,9672,2
Don't Drink the Canadian Cool-Aid,9664,3
DSG Performance,9660,1
Ottawa Tourism,9659,3
Redmercy,9649,3
Bernard Drainville,9646,2
Hudson's Bay,9644,3
Julbo Eyewear,9636,3
Lisapo ya Kama-Histoire Africaine 4,9626,3
Alberta Wildfire,9620,1
Boutique bubbles,9619,3
En Karma,9618,1
Patrick Mulumba Official,9613,3
Grand Slam of Curling,9608,3
Kranium,9608,3
Alloprof Parents,9607,3
Ton petit look,9603,2
DansLesCoulisses.com,9585,3
Entract Films,9554,3
Guylaine Guay,9551,3
Sunny Sandhu,9550,2
Tarik,9548,3
RDI Économie,9525,3
620 CKRM,9521,3
Journal Le Reflet,9520,1
Necronomicon,9519,2
Nova Scotia Proud,9513,2
Boulangerie St-Méthode,9512,2
Lennie Gallant,9512,3
Saputo,9507,2
Maurais Live - Radio X,9506,2
Buddha Brands,9499,2
Jaryd Stanley,9494,2
Burger Factory,9489,2
Marlita Ethio,9480,2
Vamos lá Portugal - Truques e Dicas,9478,1
Tower Jewellers Bathurst NB,9459,2
Creando Manualidades,9455,3
Purdys Chocolatier,9454,2
Canal D,9432,2
Jess Moskaluke,9428,3
DEADLY APPLES,9422,3
NOW Magazine,9365,3
Akroche Tatuk,9357,3
International Figure Skating,9354,3
Ottawa's Pure Country,9350,2
Simcoe.com,9349,3
Leucan,9347,1
660 NEWS,9337,3
Ottawa Public Health,9330,3
CSSA - The Canadian Shooting Sports Association,9322,2
Edgar Durazo,9306,2
Resto Pizz,9303,2
Robert-Falcon Ouellette,9298,2
999 BOB FM,9289,2
Scott Miller CTV,9287,1
Qc memes,9277,1
Voyages CAA-Québec,9274,1
Saskatchewan Party,9270,3
EG Auctions - egauctions.com,9268,3
Au Chalet En Bois Rond,9265,1
Love A Cocktail,9255,2
Brad Tuck Music,9242,2
Denzel Curry,9239,2
Prestige Jewellers,9228,3
MBC Radio,9216,2
Brendan Gallagher,9216,3
"Cody Creelman, Cow Vet",9214,1
Dean Brody,9204,1
Theatrefolk,9190,1
Observa,9186,1
Courrier Laval,9186,2
show impulse,9174,2
Pick-it-Fence Pembroke,9173,2
Brappp Life,9166,2
Les Autos,9155,1
Le Poulet du Québec,9153,3
The Science Sheeple,9150,3
Government of Saskatchewan,9138,3
Bria Atkins PPC Lambton-Kent-Middlesex,9134,1
Ontario Provincial Police,9122,2
Canadian Blood Services,9118,3
Alloprof,9113,3
Diana- Princess of Wales,9113,3
Make It Real Communication,9108,2
Jean-Marc Couture,9101,2
Gurratan Singh,9090,3
Health Match BC,9083,2
The Brampton Guardian,9066,3
Le jardin de mes pensées,9063,1
Jennifer Hanson,9056,2
DzayeRing,9037,2
Dryden Police Service,9031,1
I love my husband quotes,9023,3
Queen & Co,9019,3
Pungwe Memoria Officiel,9007,2
Les Pictogrammes,8995,2
Gardens Plus,8986,2
Hayya Alal Falah  حَيّ عَلَي الفَلاح,8982,4
CHAT 94.5 FM,8976,3
PREP,8969,3
"Ministère des Forêts, de la Faune et des Parcs",8967,3
I hate stupid neighbors.,8967,3
Port de Québec,8942,2
Annie Brocoli,8940,2
Cours Toutoune,8939,3
Bay Truck Stop Petro Pass,8936,2
United Firefighters of Winnipeg,8930,1
Shared: Moms,8918,1
Shaykh Abdullah Hakim Quick,8913,3
Mercúrio ∆,8898,2
The Shooting Edge Inc,8889,2
مجله مرد روز,8887,3
Canadian Pet Connection,8874,1
Ottawa Sun,8871,2
3MillionCats,8869,3
The Health Avengers,8864,3
ANOKHI MEDIA,8863,2
Frankie MacDonald,8861,3
Justin Trudeau is an Idiot..Page 3,8859,3
Coup de pouce,8857,3
Oxford NDP,8841,2
The Sudbury Star,8828,3
Bob Bissonnette,8826,3
"Maison Adam, par José Adam",8824,2
Trumps BIGLY WALL,8808,3
Sportstats,8808,1
Grain Farmers of Ontario,8792,2
Jeff Healey,8788,2
BC SPCA Chilliwack Branch,8788,2
Black Bear Rescue Manitoba,8787,3
ExoTica Paradis -Music,8784,1
BEAT esports,8770,3
Egg Farmers of Canada,8769,2
Film Making .,8767,3
Quotes and Sayings,8752,3
Arawaza,8744,2
Tundra Books,8741,2
Hoyga Suugaanta & Dhaqanka Soomaaliyeed,8731,2
Téa G,8728,2
Employment and Social Development Canada,8725,2
Québec Hebdo,8713,3
The Maple Ridge-Pitt Meadows News,8711,3
Ôrigine artisans hôteliers,8705,3
Walt Disney Films Québec,8684,3
Idées tattoo,8679,1
95.9 CHFM,8677,2
Cape Breton Regional Municipality,8667,2
Dominic Dubreuil - Dom Dub,8654,1
"Goodwill Industries, Ontario Great Lakes",8644,3
Opération Enfant Soleil (Officiel),8643,2
Marvel Universe - Behind the Screen,8630,1
Yannick De Martino,8630,2
Muzo Muzic Canada,8614,2
FairPlanet,8610,2
Radio Pirate,8580,2
CHEX News,8575,3
Windsor Regional Hospital,8540,3
Brand Punjabi,8539,1
Catherine Fournier,8539,2
Women's Coordinating Committee for a Free Wallmapu [Toronto],8533,1
VIA Rail Canada,8531,2
Winnipeg Folk Festival,8530,2
Manitoba Canada Campaign,8527,3
Toronto Police Service,8518,1
Laszlo The Composer,8492,1
JoBlo TV Trailers,8485,1
RestoQuebec,8480,3
webSaver.ca,8471,2
Visit Niagara,8468,2
John & Carol Arnott,8458,1
Festival Metro Metro,8451,2
Golf Canada,8449,3
Gabby's Country Cabaret,8446,1
Ishaq Mustaqim,8435,1
Zacky Vengeance and Synyster Gates Fans,8425,1
Pittsburgh Penguins Fans,8424,3
The Highwomen,8422,3
Mathieu Dufour,8413,2
DaMainSource,8395,1
V,8394,3
The Proud Caribbean,8387,1
Emilie Robidas,8382,2
URBANIA FR,8368,3
FedEx,8353,1
Little Live- Canada,8341,3
Triumph,8331,3
Canada Keep Exploring,8329,3
Poltergeist,8324,1
Dewalt Drywall Tools,8324,2
Spotted : Mirabel,8315,2
Prairie Shelterbelt Program Ltd.,8308,2
NATO enhanced Forward Presence Battle Group Latvia,8306,3
Todays Auto Sales in Canada,8298,2
Journées de la persévérance scolaire,8296,2
Someone Knows Something,8291,3
Lethbridge News Now,8288,3
Murray Chevrolet Cadillac - Lethbridge,8286,2
Country Megaticket,8274,1
Newfoundland Chocolate Company,8269,1
Snowboard Addiction,8266,2
Gun Owners of Canada,8244,3
JACK 92.9 Halifax,8237,1
Comic Alley,8231,3
Fairmont Le Château Frontenac,8228,1
CPAWS Southern Alberta,8216,2
Telefilm Canada,8206,1
Jason Dhakal,8203,3
CoCo Lee 李玟,8199,3
Curiocity Calgary,8193,2
Pénélope McQuade Page officielle,8178,1
Mark Ronson,8175,3
Dr and Master Sha,8172,3
House of Lee,8169,2
Lynternait,8169,3
Innoxious Inca Memes,8159,2
Felitche,8155,1
Indians In Winnipeg,8154,1
Complexe Atlantide,8134,1
Spectre Media Group,8126,2
WillOm Light Path,8115,2
Spotted : Laval QC,8104,2
Artemano,8103,2
Nick Murphy,8098,1
Alberta Sheriffs,8094,1
jess connelly,8084,3
Silo 57,8080,3
Beyond the Rack,8077,3
Cliniques Médicales Privées Avenir MD,8077,2
Breaking Bud,8076,3
Spotted St-Lin Laurentides,8070,3
Navdeep Bains,8069,2
Fourrures Grenier,8065,2
Raul Villacis,8063,1
Kraft Canada - qu'est-ce qui mijote,8062,3
Middlesex-London Health Unit,8052,1
Electrum Sabercrafts,8046,1
Café Politique,8026,2
Manon Grenier Memes,8016,2
Endometriosis and me,8015,2
Baber Afzal Visuals,8004,2
Ottawa Police Service - Service de police d'Ottawa,7997,3
La soirée est (encore) jeune,7993,3
CHUM,7982,2
New Westminster Police,7981,2
Canada Visa Express,7958,1
Tom Kmiec,7950,3
Fort McMurray Today,7939,3
Cape Breton Regional Police,7935,3
Leon's/Léon,7929,2
QUB Radio,7922,2
Ziad Akl,7915,2
BankyGirlCreations,7912,2
Architecture TV تلفزيون العمارة,7906,1
Joybilee Farm,7899,2
Vialli Jeans,7897,2
Lake Superior Circle Tour,7895,2
Elias Munshya,7891,3
Collective Arts Brewing,7884,1
Ma Caféine,7883,2
Global Kingston,7873,3
Skydive Mag,7867,3
The Dark Eighties,7864,2
Véronique Hivon,7855,2
SkipTheDishes,7845,2
Marie-Sol,7836,3
Christian Mbilli,7832,2
Joe Ceci,7832,2
Soheila Golestani,7826,1
Anthony Tullo,7811,1
Cavendish Beach Music Festival,7792,2
Ben Milot,7790,2
Colemans,7788,1
Stephen Blais,7783,1
Mysansar,7769,1
Igloofest Montréal,7754,1
Ontario Secondary School Teachers' Federation (OSSTF),7747,3
Jason McCoy,7741,2
Cathleen Caustic,7740,2
bubblepixie soap co.,7722,3
Mon Blog Chretien,7721,3
92.7 ROCK Sudbury,7719,2
BeauceTV,7714,3
Guide Sabbatique,7708,2
The Hamilton Spectator,7700,2
Le Festif de Baie-Saint-Paul,7700,2
4 Media Pro,7698,1
93.7 JR Country,7696,2
EDO Cultural in Ottawa,7694,1
Cruelty-Free Kitty,7688,2
Health Sciences North / Horizon Santé-Nord,7685,2
Don't tell me how to live my meme,7677,3
Le Cahier,7671,3
Interlock Metal Roofing,7670,2
BlackburnNews Windsor-Essex,7669,3
Your Amazing Body,7667,1
Cindy Day,7664,3
Extreme Hockey and Sport,7651,1
Canada and the World,7648,2
Councillor George Darouze,7646,1
Format familial,7627,2
Neon Dreams,7626,1
Dominic et Martin,7623,2
Salmon Arm Observer,7623,1
Ontario Pharmacists Association,7607,2
Shaw,7605,2
Skinny Medic,7603,2
Sawmill Structures,7601,1
Coffrets Prestige Giftbox,7595,3
Institut de Cardiologie de Montréal,7581,1
Alouettes de Montréal,7576,2
Orangeville Police Service,7561,1
Windsor/Essex County Humane Society,7557,2
Alien: Covenant News,7544,3
La Poule aux oeufs d'or,7542,2
Edo Japan,7537,3
99 Whiskers,7536,1
Centre de services scolaire de la Pointe-de-l'Île / CSSPI,7534,2
Le Cordon Bleu Ottawa,7529,1
Authentik Canada,7520,2
Bell Canada,7517,2
Rabaa Story,7517,2
Spotted St-Eustache,7516,2
Hillberg & Berk,7507,2
Ontario Ministry of Colleges and Universities,7507,1
Rusty Brown Jewelry,7503,3
Chantal Chamberland,7499,1
Location Lauzon Amos,7496,1
Element5 Spa,7491,1
The Hockey News,7491,2
Ontario's Blue Coast,7490,3
Fantino & Mondello,7486,2
Wooloo par Caroline Savard,7471,2
Omaïki,7469,2
www.lanouvelle.net,7467,2
Cannabis Culture,7465,2
Rogers,7464,1
Shah Rukh Khan - The Baadshah,7463,2
Fredericton Police Force,7460,3
Joel Plaskett,7457,2
Une autre histoire,7446,2
WikiLeaks Art Force,7439,1
Trévi,7434,2
Belmar Beach NJ,7433,3
Colle A Moi,7426,1
Harley-Davidson Rimouski,7419,1
N'we Jinan,7413,1
Bleu Jeans Bleu,7409,2
العيطة - Aita,7404,2
Bouclair,7397,1
Acadie Nouvelle,7379,3
Amir Khadir,7378,2
Brantford Expositor,7375,2
Beyond The Veil where the Angels Ascend,7371,1
Saliva,7368,2
Beauce Carnaval inc,7364,2
Espaces autochtones,7355,2
Panoram Italia Magazine,7351,2
Ontario Paramedic Association,7344,1
Apollo Cinemas,7342,2
101.5 TODAY RADIO,7333,1
SpiderTech,7332,1
Smith Trucking Inc.,7332,1
Unplanned Pregnancy Support Group,7302,3
Coach Jeremy - How To Hockey,7301,2
Philosophy and Reason,7301,2
Dj Uppercut,7299,2
Toronto Transit Commission,7293,2
Kid's Korner,7287,2
980 CJME,7280,2
Matty Matheson,7278,3
Support aux gens,7266,3
Dave Gunning,7260,2
Welland Tribune,7259,1
Husky,7254,1
Telegraph-Journal,7241,2
Chaussures Yellow,7229,2
Colyn,7228,2
TWINS™ Magazine,7223,3
Here TV,7220,3
The Sagan Series,7217,2
The Soul Booth with Nancy Regan,7215,2
Dudley Perkins A.K.A DECLAIME,7213,1
My Beautifully Broken Story,7190,1
Latunezi,7189,1
Collège St-Michel,7187,1
Breathe Easy Heating & Air Conditioning,7180,3
Morinville Veterinary Clinic,7160,1
Cariboo Brewing,7140,3
Fondation Lise Watier,7137,1
Mississauga Toyota,7115,3
Virgin Radio Toronto,7112,1
Sweet Marie,7109,2
Karen McCrimmon,7109,1
Rhys Wyn Trenhaile,7105,1
MORTEN,7101,2
Nath Keo Music,7101,1
CanadaNepal.net,7092,2
La Parisienne,7092,3
El Tio Boleas,7091,3
Ink4Autism,7089,3
Up 99.3,7088,1
Polysleep,7085,2
Octavia May,7078,2
Jon Bellion,7061,1
Doiron Sports Excellence,7061,2
Red River Early Learning Centre,7059,2
Post Foods Canada,7059,1
Néomédia Vaudreuil-Soulanges,7054,2
Canada Together,7049,1
Royal Canadian Mounted Police in Ontario,7044,1
Autódromo Hnos. Rodríguez,7042,1
Maritime Travel,7029,2
Trent Sulz,7026,1
Ayoye - MDR,7026,3
WoodWorkWeb,7016,1
CareerQuest College,7012,1
Western University,7011,2
Just Another Edmonton Mommy,7005,2
Brio SalonSpa,7005,1
The Newfoundland Shop,6995,2
Analekta,6995,1
Éléganza,6993,2
Réseau FADOQ,6992,2
Hert LeBlanc Artiste Acadien,6982,1
J.A. Laporte Flowers & Nursery,6972,1
Fluval,6971,1
Daily Hive Edmonton,6966,2
Chevrolet,6966,2
Mel Veroba Wellness,6965,2
Webkinz,6964,1
Dr. Bass Msb,6962,1
Dermapure,6956,2
University of Alberta,6955,2
Fondation québécoise du cancer,6955,2
Canadian National Exhibition,6954,2
Las Palapas Resort Grill,6948,2
Amazing Discoveries,6938,1
Our Toronto  Blue Jays Nation,6937,1
boom 99.7,6936,2
Girl Guides of Canada,6934,2
California Prunes - Canada,6925,2
Oak Island Resort & Conference Centre,6920,1
The Real Anarchyball,6915,1
The Unfit Indian,6909,2
Sammanthurai24,6907,2
Canada in India (High Commission of Canada),6906,2
Saskatchewan Union of Nurses,6902,1
Tamara Jansen MP,6894,1
Rugged Rosaries,6876,2
Destination Greater Victoria,6875,2
Scientifique en chef du Québec,6862,1
SpiritHoods,6860,2
Alberta Parks,6855,2
Pap Soul Prod,6849,2
YASSiN,6846,1
Lindito,6844,2
La page à Zoé,6837,2
Journal Le Lac-St-Jean,6835,2
Tennis Canada,6834,2
AlMaghrib Institute,6830,2
Shelmerdine Garden Center,6828,1
Travelzoo,6824,1
Ottawa Paramedic Association,6822,1
Pneus GBM,6817,2
La Fête nationale du Québec,6814,2
Nonesuch Records,6810,2
LUZIA by Cirque du Soleil,6807,2
Apotre Samuel Kinzundo,6799,1
MIX 97 QUINTE'S BEST VARIETY,6772,2
Les Belles Combines,6764,1
Réal Béland,6756,1
Pur Vodka,6754,1
Jess Lea Boutique,6753,1
Nolinor Aviation,6751,2
Elly Mangat,6748,2
Aamjiwnaang Heritage & Culture :E'Maawizidijig,6748,2
Palliser Rooms / EQ3,6748,2
Belinda Morrison Master Trainer,6744,1
Festival International de Jazz de Montréal,6742,2
Striker,6734,1
Jerry Cantrell,6732,2
Accelerated Motion Physiotherapy,6729,1
CochraneNow,6727,2
TÖME,6725,2
Bob Zimmer,6724,2
Loonie Politics,6724,2
Dennis Lloyd,6723,2
Gautam Ram Bilas Sharma,6721,2
Éditions AdA,6716,2
Dara3ta دراعطة,6706,2
Auberge Godefroy,6706,2
Mère de famille à Ville Mont-Royal,6700,2
Simon Leblanc,6678,2
Canada Safeway,6674,2
Déco Surfaces Planchers Design Val D'Or,6674,1
Fondation de l'Hôpital général du Lakeshore - LGH Foundation,6670,1
Bibiano Fernandes,6664,2
LaCoupe,6662,2
Réseau express métropolitain - REM,6652,2
Marie-Christine Proulx,6649,1
Sélection Retraite,6646,2
Firefighters Of Nova Scotia,6642,2
Adbokasiyang Pinoy,6640,2
Oum Walid / ام وليد,6637,2
Équiterre,6636,2
1029klite,6634,2
Genevieve Leclerc,6617,2
Franklins Dealers,6598,1
Thunder Bay District Health Unit,6595,2
Catherine MacLellan,6594,1
Zemari Tewodros Yosef,6590,1
Mark McMorris,6583,2
Hugo Dumas,6580,2
The Parlor Tattoos,6579,2
Poppy & Peonies,6570,2
Khea YF,6569,2
Persian Dubsmash,6569,1
Megan Mai,6565,2
Green Party of Alberta,6563,1
CHU Sainte-Justine,6560,2
Précieuse cuisine secret,6555,2
UBC Faculty of Medicine,6554,1
Wake up Indians,6543,2
Tony La Sauce,6535,2
Éditions Midi trente,6531,2
SaskTel,6522,2
NEWSTALK 1010,6522,2
Canadian Space Agency,6521,2
CTV Morning Live Atlantic,6515,1
Selección de fútbol de El Salvador( La Selecta),6511,2
Alpha1Rides,6503,1
Bilodeau Canada,6501,1
Fans of the Winnipeg Jets,6498,2
Punjabi Troll,6497,2
Canada - Middle East Radio,6489,2
Öko créations,6485,2
Intermarché St-Denis,6474,2
INP - HB,6471,1
Ferme Guy Rivest,6463,2
Sara Sabry,6448,1
Microbrasserie Le Trou du diable,6437,2
Dr M Health Corner,6432,2
Drowning,6431,1
HUDA,6426,1
Saskatchewan RCMP,6413,2
DAVIDsTEA,6411,2
Splendeur Natty,6406,1
Le Numéro 1 de l'Amérique du Nord Voisin de Celine dion,6405,1
Joël,6403,1
Hot Freestyle,6399,2
Mario Dumont LCN,6398,2
Bad Monkey Popcorn,6398,2
Bike Binderz,6368,1
Clearwater Seafood,6359,2
Seido David Morgan,6350,1
"I hate it when people act like breastfeeding is obscene,  GET OVER IT!",6349,1
Winnipeg Free Press,6340,2
A Dollar A Day,6338,1
Your Favorite Makeup-ماك شوب,6333,2
Société d'habitation du Québec (SHQ),6329,2
Bonjour-santé,6325,2
The Real APNU AFC,6323,1
KoalaQuiz,6321,2
Opshora Ali,6312,1
Country 93.3,6309,2
Amélie Dubois,6305,2
Fanabox,6305,2
Ville de Longueuil,6303,2
Aldo Moller,6301,1
Jardin Hamel,6288,1
Rythme 100.1,6288,2
University of Waterloo,6284,2
Teach My,6282,1
Révolution,6280,2
Museum of Natural History,6279,2
Frank Romeo,6276,2
Kellie Loder,6272,2
Irish Mythen Music,6266,1
Times Colonist,6264,2
ProAthletes - אימון ספורטאים,6258,1
Michael Barrett,6255,1
Julie St-Pierre,6249,2
Nova Scotia Health,6245,2
CBC Hamilton,6236,2
WWF-Canada,6235,2
RED FM 106.7,6227,1
OFW Family,6227,2
Bells Machining,6224,1
Kids Vancouver,6224,2
The Stanfields,6221,1
Younique By Natasha,6221,1
Doane Uschool,6213,1
Let's Go Bruins !,6212,2
lululemon,6212,1
Jassi Sohal,6210,1
CIUSSS du Nord de l'Île de Montréal,6210,1
City of Edmonton,6207,2
Shqipëria e Bashkuar,6204,2
Family court hurts,6201,2
Vamos lá Portugal - Lifestyle,6197,2
"Souls Harbour Rescue Mission, NS",6196,1
احلى النجوم مع بوسى شلبى,6187,2
Smiths Falls Record News,6183,1
Fontaine Santé,6176,1
Miray,6171,1
Charlotte Cardin,6171,1
Deerhurst Resort,6166,2
The Morning X with Mark & Chris,6166,1
BackStabber,6159,1
2Frères,6153,2
"Yvan Baker, MP",6149,2
Knocean Foods,6147,1
"Le quad , la moto  ma passion",6146,2
Decomurale,6143,2
Karwan Hawramy,6140,2
Five Points Media,6138,2
TVO,6130,2
rdnewsNOW - Everything Red Deer,6125,1
"Faculty of Communication, Art and Technology",6117,1
Astrology Answers,6117,2
WorldEvangel,6106,2
Red Deer Advocate,6097,2
Ils en Fument du Bon,6086,1
Paw Buys,6084,1
The Binger,6073,2
HEAVY MONTRÉAL,6072,2
Warner Music Australia,6071,1
West Coast Native News,6069,1
Dominic Paquet,6067,1
Jónsi,6061,2
Cottage Life,6061,2
Musée national des beaux-arts du Québec (MNBAQ),6059,2
III% Community,6059,2
Chris Warkentin MP,6054,2
Data Science Academy,6053,1
Dixquatre.com,6053,2
Bernard Généreux,6051,2
Sabotage Studio,6049,1
1-800-GOT-JUNK?,6043,2
Énergie Abitibi,6039,2
Le pacte pour la transition,6035,2
NurulQuran Pakistan,6034,1
The Cars,6033,2
Lucknow's Music In The Fields,6021,1
Goldstream News Gazette,6020,1
Kobo,6016,2
Jane Philpott,6003,2
Caribbean Pot,6002,2
AngelMaker,6001,2
Ontario Provincial Police - North West Region,5998,2
Yahwendy Babs,5996,1
Georges Laraque,5994,2
Meriem Ben Amor,5994,1
Geneviève Guilbault - Députée de Louis-Hébert,5991,2
The Manitoulin Expositor,5986,2
Canadian Turkey,5986,2
Ducks Unlimited Canada,5985,2
Banque Nationale,5983,2
رابطة الصحافة البحرينية,5983,2
Just Go Vacation,5977,2
Marie-Pierre Arthur,5969,1
Global Degree,5964,2
Ram Trucks Canada,5963,2
"GOD, Grant Me The Serenity",5961,2
YMC,5960,1
Kingdom of the Netherlands in Canada,5959,2
ICI Côte-Nord,5953,2
Die Hard F1 Fans,5950,2
EKOD-Production,5948,1
Lavigne's Canvas Co.,5947,1
NESCAFÉ,5945,2
Tastet,5936,2
Satiya - សាទីយ៉ា,5936,2
The Meow Post,5934,2
Jennie Stevens MPP,5926,1
Planchers Mercier - Mercier Wood Flooring,5922,1
Complete Country,5918,1
Indigenous Tourism BC,5913,1
Saskatoon SPCA,5913,1
The United Church of Canada,5911,1
theScore NBA,5908,2
W Bear App,5908,1
Premier Outdoor Living LLC,5908,1
Boutique et cie,5905,2
Natasha Meister,5903,1
Brain Tumour Foundation of Canada,5887,2
Le Domaine Shannon,5882,2
Shawn Wasabi,5877,2
Marcangelo Foods,5876,2
99.9FM The Fox - Sarnia,5875,1
Stance Is Everything,5862,1
Aliments Roma Foods,5861,2
COMEDY PORTUGUESE,5847,2
Universal Pictures Canada,5847,1
Brazzers,5841,2
Angels of Hope Against Human Trafficking -AOH,5834,1
Cizzy Darling Officiel,5829,1
Cell and Microbial Science,5827,1
Kelly Sildaru,5821,2
Les Hôtels JARO,5810,1
Casino Montréal,5809,2
Eminence Organic Skin Care,5809,2
Florent Pietrus,5806,1
Rapido Trains Inc.,5798,2
Yasmine Mohammed,5794,2
Canadian Federation of Nurses Unions (CFNU),5794,2
Haberciniz,5792,1
Hôtel Rimouski - Centre de Congrès,5791,2
Royal Canadian Navy,5786,2
Emmanuel Travis,5785,1
Hamilton Community News,5784,1
Sobeys Extra St. Clair Beach,5778,1
Toronto Guardian,5775,2
EnBeauce.com,5771,2
Deux par Deux,5771,2
The Senior Paper,5766,2
PikachuInnahoodie,5762,1
Antonio Artista drawing,5759,1
Max Surban,5754,2
Dawud Ibsa Ayana,5751,2
Émilise Lessard-Therrien,5748,1
Nonna Maria and Friends,5740,2
Frankie Collective,5740,1
"GHANA  F.A. ""GoldCoast Blackstars""",5735,1
TSR CREW - Officiel,5731,1
SMR LVE,5729,2
Ddrops,5718,2
Bibliothèque et Archives nationales du Québec / Grande Bibliothèque,5715,1
Sarah Snow,5715,2
Ordre des pharmaciens du Québec,5710,2
Tourisme Lanaudière,5709,2
Terrabella Shop,5694,2
Mehdi Boumalki,5691,2
Jean-François Provençal,5689,1
London Knights,5687,2
Paul Arcand,5676,2
Expo Manger Santé et Vivre Vert,5673,2
Murtaza Ibrahimi Official,5670,1
Miss Victoria Murder,5666,2
Vigile.Québec,5655,1
A Blog Of Thrones,5649,2
Bijoux Cré-Art inc,5647,2
Factory Recreation,5640,2
Les Monstres à Câlins,5639,1
Mycar.ca,5638,1
China Tour Advisors,5638,1
Beachclub,5638,2
YMCA of Greater Toronto,5635,1
Ontario NDP,5631,2
Contant,5629,1
Espace pour la vie,5622,2
Ville de Drummondville,5619,1
Jobanjit Singh,5618,2
Justice Centre for Constitutional Freedoms,5609,2
Piknic Électronik Montréal,5608,2
Jamie Miller,5604,1
Peterborough Examiner,5603,2
Parks Canada,5602,2
Red Barrels,5602,2
Hail to Michigan,5600,2
Latotatv.com,5598,1
Ｗｏｒｌｄ Ｗｉｄｅ Ｗｅｂ,5597,2
كمال ديب الصفحة الرسمية,5595,1
Water Drinking Club,5594,1
Toronto Muslims,5593,1
Malory,5592,1
L'Espace Public - Brasseurs de quartier,5590,1
Sunshine Coast BC Canada,5587,1
Canola Eat Well for Life,5580,2
OLA Bamboo,5579,2
Défi Santé,5578,2
Trap Free Montana Public Lands,5576,2
Bellyfit International,5572,1
640 Toronto,5571,1
Little India Restaurant,5566,1
DEBAH Samy,5566,2
puppyteeth,5561,1
FIDE - International Chess Federation,5558,2
Rockin' River Music Fest,5555,1
IKEA,5554,1
Sherlock Holmes - Jeremy Brett,5552,2
Escapade Music Festival,5551,1
Resource Works,5543,2
Shane Koyczan,5542,1
Luka Stepančić,5540,2
Ambulance Paramedics Of BC,5539,2
Velvet Code,5539,1
Layla Zoe Fanpage,5533,2
Forum of Federations,5529,1
Eye of the Tiger Management,5528,2
Longo's,5525,2
Shannon Mayer,5524,2
Clocks And Colours,5518,1
Truro  News,5513,1
Balle Courbe,5512,2
John E. Marriott Wildlife and Nature Photography,5504,2
Flamingo,5501,2
Brass Pole Motorcycle Accessories,5499,1
Jax Allen Designs,5499,2
Postes Canada,5495,2
Plantskydd Deer Rabbit Vole Repellent,5494,2
Elevation Pictures,5491,1
IDRF,5491,1
Daily Positive Quotes,5487,2
Center Ice Hockey,5464,2
panow.com,5461,1
Oriah Mountain Dreamer,5460,1
Carrier Sekani Family Services,5454,1
Play 107,5450,2
Ztélé - La page officielle,5450,2
CTV Ottawa Morning Live,5449,1
