page,interactions,nb
Clean Energy Canada,1076514,317
Bizzle,1075702,76
Norwood Portable Sawmills,1074524,108
Virgin Radio Winnipeg,1073278,51
Jean Coutu,1071995,132
Tony Keo Page II,1068630,30
Cozy Cabins,1067600,279
Live Love Fruit,1067086,183
Gifts4Family,1065918,215
Forkly,1062661,227
Stop Hating and Start Loving Justin Bieber,1062405,199
Zone Fulbe,1061749,357
Positive People - Making a difference,1058956,351
Debi Makhsoospuri,1057891,286
New England Patriots Fan Club,1057371,321
G+L Travel Photography,1055367,14
Daniel Goddard,1053729,165
EastCoastBoys,1052758,88
Robin Sharma,1052121,215
Catherine Dorion,1052046,146
EMCI TV,1051361,228
Trailer Park Boys Memes,1048482,171
ActiveBeat,1047333,391
Love You Lord Krishna,1046468,331
finances-africa.com,1045221,94
Hoodsite,1044423,70
Esa Fungtastic,1044220,38
The Quiz,1043267,411
Ｐｏｅｔｉｃ 正義,1042301,283
Petit Petit Gamin,1039681,142
Bindy Brar,1039527,92
"Planes, Trains and Automobiles",1037889,206
Ali Al-Merjany,1034866,238
Sammy Dhaliwal,1031446,131
Fait au Québec,1029797,147
Rafael Nadal Fans,1027392,289
Gringo's Statements,1027223,24
Rumble Cats,1023033,99
Lyfe Lessons,1022552,76
The Toronto Star,1019036,382
Le Revoir,1017638,350
Youth Mental Health Canada,1013459,256
Best Haitians WorldWide,1013384,194
Landyachtz,1013069,13
Corey Taylor,1012787,121
Play Mizik,1010084,376
My Chennai,1008517,396
Dan Lok,1008286,169
Rachel Notley,1007638,308
Explored Planet,1007216,321
GoodGood Parents,1004919,95
Gfycat,1003801,20
Anonymous infos QC,1002652,266
Capos Del Trap Y El Reggaetón,1000945,80
Bubbleisms,1000231,124
Amin Amir page-ka Ra'iga,1000219,177
CBC North,999596,105
The Dollar Vigilante,993694,78
Institute of Child Psychology,992293,183
Buju Official,990156,127
Politikal Memes,988590,216
Gym Memes Québec,988272,191
Luxlo Cosplay,986468,316
Putt Jattan De Driver Truckkan De,984056,126
Let’s Travel,983380,133
Trucs et astuces informatiques,981754,328
Inkbox Tattoos,979223,48
Inspire Positive Soul Sensations,979194,198
Lil Durk,978794,165
Danick Martineau,975788,120
Vamos lá Portugal [Fan-O-web],975615,301
Circulaires,975380,236
Dj loonyo-ko,974556,129
Cocinando Con Reina,973785,252
Brittlestar,970707,98
Gabby Barrett,968744,223
Jamie Lee Curtis,967036,118
Les Magnifiques,965747,73
AphricanAce,964822,192
Hz Muhammed Aşkı,964341,281
Proud To Be Canadian,962697,147
Sicker Than Others,962499,29
La page TDAH,960085,51
Élevage Cochons miniatures,958644,48
Voice of Doraemon,958510,15
Unstoppable Mother,958009,222
Dinah Jane,953717,219
Le Devoir,953529,345
Jihad Watch,953381,333
Vikki Lenola,951378,251
Lisa Lou Who,950923,98
J.Cole,950663,44
"Rodrigo Duterte Support Page by Dr Eli Alegado FRCPC, FACP",949081,322
Ottawa Citizen,948845,252
The New HOT 89.9 FM,946713,341
Manualidades en el hogar,944683,128
Choisis de Jesus,942734,40
Global Calgary,941384,289
Canadian Taxpayers Federation,941263,297
اقرأ,940926,86
Marc Fitt,940651,246
Une Pomme Par Jour,939928,295
Spotted N'importe Quoi,938495,244
Freebies,936567,132
David Suzuki Foundation,936043,220
Savannah Canada,935029,116
Larry Enticer,934819,55
By Elizabeth Lozano,931501,281
Mountain Cabins,930404,227
Mi Soledad,930253,8
Ketamine’d,929755,141
Forever Christmas,928890,184
Heckin pictures of DANG Doggos,919290,285
Meme Sauce,918794,67
3MillionDogs,918468,254
Cool Accidents,915303,54
6Foot4Honda Motovlogs,914213,14
NTDTV Canada,913819,24
Biblioteca SUD,912769,54
8Comics,911565,221
Vinay Vashisht,911044,88
Retrontario,908403,158
Propulsion,907439,56
Gelatin Art Market,907437,22
Zac Brown Band,906187,150
Kara Cooper,905892,96
Nerd Is The Word,904594,256
Крепкий орех,904140,56
Pouya,900800,181
I ketamine’d in my pants,900700,137
Gucci Mane,895355,150
Harry Sandhu,894401,72
My Turtle And I,893264,25
"Click ""like"" if you love your dog",893257,112
The Crochet Crowd,893131,290
Tamil Village Food Factory,892519,24
MATT AREND Timepieces,891410,70
Avicii,889953,26
Cartoon for Kids,889495,136
Al Firdaws Canada,888790,118
KoalaQuiz Français,886198,260
BMW Canada,886157,203
Balle Courbe,885604,43
Scott Moe,884373,196
Niqab Lovers Page,883766,128
Kuruma,882842,107
Old Stock Canadian,881646,226
Vera Bambi,876192,305
Kinpatsu Cosplay,874435,272
Anne of Green Gables,874393,181
Bret Hart,873715,86
Jo clé  Construction,873535,103
Rhythm Boyz Entertainment,870040,36
Dead by Daylight,868328,257
CBC Toronto,868267,114
Toronto Pig Save,868197,190
TheTalko,865148,353
"Experience Kissimmee, Florida",863375,147
CTV News Ottawa,861482,235
Oscar Peterson,857020,88
Vida Guerra,856722,293
Mylène Farmer,855552,138
HGTV Canada,853257,93
Harmandeep,851438,63
Je Me Souviens,850823,207
Rimz J,850691,102
WeedGang,848210,72
Espace Geek,847389,72
CantoMando,845485,78
V  Création,845472,256
Flawless,844613,46
Libaboss82,841672,48
BenBen CatCat,841382,213
My Miss Kitty-Face's Gang,839947,200
CanadaVisa.com - Campbell Cohen Canadian Immigration Law Firm,835668,249
Tasavvuf ve biz,835612,60
HERMANcomics,835120,178
Greenpeace Québec,833874,67
Go Nawaz Sharif Go,832757,188
Addams Family Movie,831083,23
Georges St-Pierre,829507,181
Jeremy Demay,827993,46
Wanderlust Vacations,827856,230
The Ismaili,827714,264
Canadian Screen Awards,826077,16
Jaspreet AK STUDY VISA,825779,144
W Network,824927,89
Sophie Grégoire Trudeau,822722,154
Tony's Flashbacks,820121,66
L'heure juste du camionneur,818695,203
روائع في الاشغال اليدوية Handmade crafts,811686,279
Laughed so hard I wet myself,811177,223
Ava Max,809426,169
Stoner Memes,809056,172
6LACK,807819,196
Heartland on CBC,805721,222
Ellie Goulding,805465,85
Tehlka Media,804256,54
Jai Baba Murad Shah JI,800046,138
Rambha,799300,75
المنتدى العربي لاطباء الاسنان,796704,246
Minion Humour,793403,231
Kaur Mandeep,790795,66
CTV Atlantic News,790081,233
Momming Hard,787720,234
Dariush Eghbali,786972,130
Redneck's québec,785927,91
Deer Blinds & Fishing Lines,785247,118
The Tattooed Gardener,783641,125
GrooveStyles,782719,38
Carey Price #31,781230,187
ScoopNow Videos,780160,13
Chicago Bears Nation,776265,158
Steele Mazda,776168,174
Bite My Lily White Ass Again,774442,274
Canada Remembers,772858,204
Mai khalil's Kitchen مطبخ مي خليل,771896,71
અમૂલ્ય ગુજરાતી વાર્તાઓ.,770658,195
DOBERMAN PINSCHER,769335,229
Made in Alsace,768105,225
Bookyards,768057,136
Rumble Babies & Kids,767128,15
JeepBeef,764096,68
TVA,763299,155
Plaisir et Bien-Être,762283,178
The Godless and Irreligious,758964,276
Le Journaliste Ghars Lotfi /الإعلامي لطفي غرس,757881,74
Jackson Wang,756287,47
Katt Williams,755035,157
Psych2Go,754392,220
Liberal Party of Canada | Parti libéral du Canada,750386,240
Philip Fusco,750096,146
"Actualités, trucs et astuces",746736,219
CBC Ottawa,746438,102
Megan Thee Stallion,746112,92
All Crafts & DIY,745849,60
Jonita Gandhi,742475,153
Beauty of Planet Earth - Adventure,741879,122
Lil Char and the Gang,739435,112
OFW Tambayan Ng Mga Homesick,736728,50
Hayley Williams,736043,113
Learning Jungle Cambodia,734942,111
La SST sans censure,734691,149
Scott McGillivray,733889,175
Canada Explorez sans fin,733271,200
Greenpeace Canada,733033,105
Good Girl,732650,27
Sony Pictures,731754,99
نغمات السماء,731339,69
Hardcore Calabrese,729389,192
Tones And I,728207,61
SnapChat - Feels,727506,64
Peace Compassion Love,726989,67
Aya Nakamura,726603,86
Jonathan Davis,726032,122
Le Biscuit Chinois,725193,127
Rebranding Middle Age,724912,120
Look du jour,724857,76
CHEK News,724650,255
Foals,723496,170
Madic 100 frontière,722571,180
Lil Baby,721212,130
70000tons,719592,128
Polo G,719486,75
Dilpreet Kaur,719080,75
Ricardo Cuisine,718183,164
Johnny Drille,711669,152
Manualidades aPasos,711602,78
Luimarco Daily,711591,50
Microsoft Partner Network,711285,11
ICI Québec,709304,159
HER Music,709123,117
Tim and Sid,708326,103
LEGALIZE IT Germany,707137,223
Thevar Vamsam Films India,705949,89
Marocains du Canada,705930,57
Danielle Bregoli,705595,156
BlaguesQuébec,705004,181
Maxime Bernier,702969,260
Healings & Intuitive Readings with Tracey Smith,702599,195
Québec Insolite,702484,199
Healthy Canadians,702098,62
Bored Tradesmen,701403,203
DAD CORE,698943,186
Baljinder Kaur,698364,57
Kamaljit Neeru,697882,107
شؤون إسلامية,696680,59
FUN SHUN,696363,41
bossbens show,695956,141
Lil Jon,694759,56
Qinni,694667,45
WestJet,694655,114
Bassel Ismail,692548,85
Train Your Probie,689465,178
Breaking Bud,689090,65
CHCH TV,688706,241
1 9 9 6,685662,40
"YAHushua Ha Mashiach - SON of YAH Is Coming In Power, Majesty & Great Glory",685603,4
S a d,685095,175
Christina Perri,684259,122
Mathieu Cyr,683968,100
BackTrack Linux fan page,682014,308
Come on,680072,122
Mumble Rappers Anonymous,679972,91
Mountain Media,679861,210
Canada - Middle East Radio,679192,16
Kinda Hanna كندا حنا,678909,93
الخال ابو طلال المزيون,678383,33
Legendairy Milk,677274,36
TwistedSifter,677200,79
Bombón,675727,27
Arnaud Soly,673336,101
"معا"" لإحياء سنة النبي ﷺ و سيرته العطرة",672274,50
Baroness von Sketch Show,670758,96
CBC Saskatchewan,667789,80
Tank,666982,35
Random Randomness. Memes,665848,140
Le monde de Benjamin,665714,74
I Think Am The Meme Guy,664714,50
Éric Duhaime,664698,191
Super modèle en pagne,662519,155
BioWare,661673,161
Hypersensibles et empathes,661108,200
"107,3 Rouge",659740,195
Philippe Bond,657202,152
Royal Canadian Mounted Police in Manitoba,656349,171
Sukhbir Rana,655840,66
Hugo Roth Raza,655278,46
Jared Falk,654815,97
كوميديا فرجيني,654601,20
Therapy Dogs Give Love,653913,11
Inside Vancouver,653055,202
Logo Designer,652356,106
En direct de l'univers,651838,113
The Extensionist,649298,98
Fabienne Colas,649165,145
QitQitak TV,648799,22
Deep Sidhu,647350,112
Cineplex,646907,148
Sophie Labelle,646705,263
Total Pro Sports,646013,133
Stoked,645993,20
Daniel Arenson,645416,21
Brian Jean,644625,137
Leafs Rumours & Trades,643951,201
What a Life,642839,19
Jamie Jones,641507,138
LES ALGERIENS DE MONTREAL,641345,109
96.1 myFM,640590,25
Can-Am Off-Road,639998,131
Katerina Jacob,639966,105
Radio Betna,639912,12
TST APP.,639796,142
SABIAN,638747,125
Delicious,638038,67
Nonviolence & Peace,637902,155
Pawsome Couture,637729,33
FrugalCanadians,637206,203
الجالية الجزائرية في اوروبا امريكا و كندا,636361,125
Jowissa,636049,130
"Hon. Candice Bergen, MP",635541,184
Sex-i & GENT,631838,224
Virgin Radio Calgary,631696,25
Art by Andi,628311,41
Druid,627290,129
Marine Mammal Rescue Centre,626215,22
AfriCanada Consulting Inc.,626047,38
CBC Prince Edward Island,624719,56
"I,Hypocrite",623684,139
يامزيون شنو هذا,623279,48
The Royal Canadian Legion - National Headquarters,621992,152
Ok,621123,101
The Marvel Universe,618827,112
Awale Adan,618687,136
Les Trouvailles de Sarah,617375,88
Charlotte Curve Model,617045,59
Biffy Clyro,616781,130
Haligonia.ca,616766,186
Air Canada,614939,139
የበለጸገች ኢትዮጵያ a Prosperous Ethiopia,614423,185
HunniBee ASMR,614109,122
Ella Fit Pro Center,611672,7
Global Regina,611242,62
Les Révoltés du Québec,610677,134
Aurangzeb Alamgir. Ra,609510,49
Scene,609347,190
The Buddhist Chef,609345,111
Colin Mochrie,609289,113
Lush Cosmetics North America,608102,172
INSH,607593,71
OMNI Punjabi,607490,69
Mike Holmes,605656,145
Michelle C. Smith,604491,21
Nicole Bordeleau,603795,161
George Ezra,603728,173
Quotes And Thangs by Providr,603536,231
SUGAR SAMMY,603442,97
Living On The Edge,602716,11
Vivons le moment présent,602235,71
Jayde Nicole Fitness,601764,161
Rant,600762,178
Toronto 360 TV,600689,13
AC/DC,600593,27
49 Design,600472,154
Best Jokes,599806,28
MindSmash,599441,38
Bakugō Katsuki,599369,75
Kafui Danku,598908,128
Climate Save Movement,597963,43
Martin Matte,597950,42
Catherinette Rings,596986,3
Embroiderers' Guild of Victoria,596685,210
Funny Sexy Stuff,596382,193
آهنگهای ناب و اشعار زیبا,596051,126
Hunting Addicts,595400,17
Gojira,594180,128
We'll Be Forever Loving Bob Marley,593184,142
Visit Hilton Head,592626,109
Young Studios,592346,136
الصفحه الرسميه - دينا الحناوي,591734,84
Workneh Gebeyehu,590811,157
Madmedia3,590453,21
Djamboola Fitness International,589212,9
SwearNet,589041,128
About Islam,588134,183
CBC Montreal,587762,88
Elise Gravel - français,587575,98
Matthew Santoro Videos,587449,150
"96,9 CKOI",586405,150
Canadian Forces Snowbirds,586289,76
Bun B,585900,135
BrianCuisine,585857,247
Jatinder Dhiman,583510,48
Rebel News,582986,190
Sri Lankan Memes,582672,201
Mamá gurú,582589,81
LaSalle College | Indonesia,580779,83
I Fucking Love Travelling,580577,158
Bollywood news Punjab,580460,140
Dream wild and free,580415,57
Shitpost:76,580068,178
Canadian Silent Majority,578725,55
Spotted : Clients de marde,578612,173
66Samus,578517,42
Decolonize Myself - A First Nations Perspective,577646,110
Aurora Generators Inc.,577240,1
XFL Memes,575614,113
Mexico Grand Prix,575497,114
Julie Snyder,574655,89
Lenarr,574633,28
the Shananigans,570030,2
LADI SINGH,568359,105
Arrow in the Head,568187,114
Malu Trevejo,566721,119
Shobhit Banwait,566338,42
GO HABS GO,566035,141
Laura Klassen,565764,145
Funny Canadian Memes,563928,75
الصيدلانيه جنان,563450,77
The Mane Choice,562610,90
CBC Olympics,561242,143
CheeseNguyeen Nghịch Ngợm,560894,41
Dice mi Mamá que,560815,16
Vivre avec la pensée positive,557737,163
Spotted: STM,557648,129
Véronique Cloutier,557636,120
CBC Yukon,554555,32
Hope For Wildlife,552959,180
ÉNERGIE 106.1,552698,37
Unitronic,552665,160
Sukh Sanghera,551916,98
Tyler's Dank Memes & Sick jokes,551619,54
Parenting Memes,549461,142
Canada Alyoum كندا اليوم,548845,157
Superhero Academy,546943,117
J'avoue Que,545266,144
Say India,545073,94
Oh Hello Clothing,544660,158
Pants on the Ground,544158,25
ICI Estrie,544087,110
مكائن خياطة صاحب السعادة,542382,137
The time is now,541552,48
Earth Family Crystals,540969,167
Les Archives de Radio-Canada,540729,103
Les Oranais du Canada,540694,14
Videos para entretenerte,540616,6
Rohanpreet Singh,539468,81
Gino Chouinard,539370,50
طريق الرب,539079,90
موسوعة التاريخ الإسلامي,536089,117
Miss Shelton,535556,111
Vintage Belle Broken China Jewelry,534713,167
Canadian Patriots,532274,156
CBC New Brunswick,530443,154
Virgin Radio London Canada,527700,160
Best Damn Amazing and Crazy Videos,527171,13
Basag ka,526865,10
K CAMP,526401,22
Bell Let's Talk,526294,66
OMB Peezy,525846,48
Josée Boudreault,524984,117
Hot Freestyle,523277,12
Mentes Millonarias,523159,18
Frases Para Soldadores,522731,86
Serres Li-Ma,522555,73
Iron Bull Strength,521711,32
MEMES GASTRO-ENTÉRITE,521301,125
CTV News Winnipeg,519951,170
Mommy Moment,519672,155
Modern Cat magazine,519341,64
HolyClothing,519066,147
One Way Media,517466,54
CBC Music,516563,63
CJAY 92,516462,61
Brasil Acima de tudo e Deus acima de todos.,516256,118
Conversations with Kanwal,516184,31
Viral Googly,516021,117
Canadian oil Refined by Canadians,515914,113
Coalition of Concerned Manufacturers & Businesses of Canada,515895,127
Trois fois par jour,514463,156
"La photo ""shop""",514002,167
François Bellefeuille,512785,64
Embelta,510897,167
Popcaan,510778,112
Brad Wall,510745,146
𝐶𝘩𝑒𝑟𝑟𝑦,510705,53
Airliners.net,508823,215
Tamazgha Monde TV,508111,71
Orthodox Mezmure ምስጋና ለእግዚአብሔር,508026,88
Manon Massé,506234,95
François Charron - Page officielle,505601,132
Vivid Vision,505109,204
GuyaneseTing'zz,504708,127
Black Eyed Peas,504107,53
Natural & Heavy,503965,100
Science of Positivity,503423,29
Shashaa Tirupati,503161,63
ETVnet,502512,32
DrakeFeelings,501740,17
Healing Hearts,501529,90
Fishing fishing,501511,38
Rancho Suspension Philippines,501174,67
Catchin' Deers,499722,53
Shah Rukh Khan - The Baadshah,497929,42
Oshin Brar,497742,58
Plus Saine La Vie,497247,70
Farah Dhukai,496259,56
Salvatore Ganacci,494636,68
Depressed Waifu,493847,47
Expand Your Mind,493527,9
Sports Memes,492999,145
Télé-Québec,492479,88
Nova Scotia,492404,113
Fleetwood Mac,492266,54
ALLAH C.C AŞKI,491935,100
Maxi,491427,114
Awesome homes and breathtaking views,489434,210
Constantly Varied Gear,488538,86
The King In The North,488501,70
QC Dirt Nation,487990,28
عدراوي لايف - Adraoui Live,486468,100
Jardín de Pensamientos,486368,57
Marie Mai - VIP,485929,83
Elevation Pictures,484311,115
Island Jay,484301,119
JEFF BROWN,484074,165
Bazzi,483714,52
Calgary Herald,483220,124
Seviria Cosplay,482709,185
Ma vie d Artiste à  Montreal,481550,86
Nipsey Hussle,481105,34
Alexandre Barrette,481077,97
La Gringa Latina,480646,14
Embassy of Canada in the Philippines,480484,25
Innoxious Inca Memes,478659,142
Green Party of Canada,477752,138
Idle No More,477717,139
NESCAFÉ,477168,62
Chassomaniak,475619,156
tentree,474258,125
Rumble Dogs,474092,59
Puto Prata,473994,78
ECADF Ethiopian News,472958,90
enVedette.ca,472856,114
Unwavering Faith,472339,188
Halestorm,472150,115
Science Lovers,472102,10
Worst Buy,471716,96
La Voix,471691,104
Snowboard Addiction,471593,61
Manjit Sahota,471548,72
Calvin Harris,471101,85
Cine samugam,470744,39
Murdoch Mysteries,470646,130
Cintermexico,470254,94
engVid,470018,121
"Like This If You Like, Love, or Miss Someone",469743,17
Egyptian Arts Group,469243,22
Mike Ward,469129,74
Eric Jalbert,469043,56
Etienne Boulay,468850,46
Société de l'assurance automobile du Québec - SAAQ,468312,46
Radio-Canada,468001,85
Thomas Sowell Quotes,467191,166
Sólo Perversos,466884,73
7 jours sur Terre,466316,69
Step by Step Hairstyle Tutorials,465673,108
Calgary Police Service,465527,123
Arsara Music,464616,49
Jucee Froot,464567,49
BangtanBoys 방탄소년단,464440,12
Ottawa Senators,462122,148
980 CFPL News,461165,167
Dump the Trump Buy Canadian,460647,7
Maman caféine,459844,106
Mutant,459799,62
La Dissidence,459659,102
The Weirdest Guy Ever,457577,16
Meanwhile in Saskatchewan,456492,119
Shared: Moms,456202,10
VedetteQuebec.com,456061,125
NHL News Updates,455906,112
7 Jours,454449,122
BALLGOD,454351,34
The Arrowverse,454030,104
Petro-Canada,452092,135
MORTEN,452051,13
Dr Anto Youssef,451627,69
Said Rageah,450468,50
VVS Films,449885,40
Canadian Armed Forces,449244,94
LUS Brands,448460,54
"FM 103,3 - La radio allumée",448136,75
Jesus is Love,447491,79
Gasyprogrill,447265,37
Shopify,446594,83
Maple Leafs Fans,446589,91
The Little Potato Company,446554,210
"Grace, Love & Beauty",446501,128
HanCinema,444768,90
GraceDigital,444220,43
Unist'ot'en Camp,443434,110
CBC Radio,443371,55
Alberta Blue Skies,441901,147
LGBT,441689,66
ستاره گان راه توحید,440922,82
Occupy Canada,440703,112
Justin and Greg,440259,8
Bonjour Québec,438517,71
OFW Tambayan Ng Mga Pusong Ligaw,438218,25
Hala Canada  - هلا كندا,438070,100
Casino New Brunswick/Nouveau-Brunswick,437525,92
Fugueuse,437199,95
Chantal Desjardins,437011,3
Good morning Quotes,436627,177
"Nighttime: Canadian Crime, Mysteries, and the Weird",436547,1
Be Vancouver,435623,140
Fameux Fashions,435273,72
Marvel,435099,70
Super Simple,434810,36
CityNews Edmonton,434764,54
